model,iter,Metric,Precision,Recall,F1,Value,Model,Accuracy,AUC,Precision_1,Recall_1,F1_1
lstm,iter12,Accuracy,0.7482800485633346,,,,,,,,,
lstm,iter12,AUC,0.8328989574979953,,,,,,,,,
lstm,iter12,Precision_1,0.7874885004599816,,,,,,,,,
lstm,iter12,Recall_1,0.6864474739374499,,,,,,,,,
lstm,iter12,F1_1,0.7335047129391602,,,,,,,,,
gru,iter12,Accuracy,0.7434237150951032,,,,,,,,,
gru,iter12,AUC,0.8299454638845648,,,,,,,,,
gru,iter12,Precision_1,0.7867165575304023,,,,,,,,,
gru,iter12,Recall_1,0.6744186046511628,,,,,,,,,
gru,iter12,F1_1,0.7262521588946459,,,,,,,,,
clinicalbert_transformer,iter12,Accuracy,0.7492179353493222,,,,,,,,,
clinicalbert_transformer,iter12,MacroAUC,0.8356696306369151,,,,,,,,,
clinicalbert_transformer,iter12,Precision_1,0.8188638799571275,,,,,,,,,
clinicalbert_transformer,iter12,Recall_1,0.7100371747211895,,,,,,,,,
clinicalbert_transformer,iter12,F1_1,0.7605774016923843,,,,,,,,,
tabular,iter13,RandomForest,0.7374,0.8294,0.7459,0.7273,0.7365,,,,,
tabular,iter13,XGBoost,0.7293,0.8226,0.7357,0.7233,0.7295,,,,,
tfidf,iter13,,,,,,,0,0.6102150537634409,0.8254545454545454,0.7017001545595054,
tfidf,iter13,,,,,,,1,0.8188679245283019,0.5994475138121547,0.6921850079744817,
tfidf,iter13,,,,,,,Accuracy,0.6970172684458399,,,
tfidf,iter13,,,,,,,ROC_AUC,0.7741107204643116,,,
lstm,iter13,,,,,,,Accuracy,,,,0.7405908539053015
lstm,iter13,,,,,,,AUC,,,,0.8283691316676363
lstm,iter13,,,,,,,Precision_1,,,,0.7671957671957672
lstm,iter13,,,,,,,Recall_1,,,,0.6976744186046512
lstm,iter13,,,,,,,F1_1,,,,0.7307853842923141
transformer,iter13,,,,,,,Accuracy,,,,0.7312828814245245
transformer,iter13,,,,,,,AUC,,,,0.8185678307676987
transformer,iter13,,,,,,,Precision_1,,,,0.7510766580534023
transformer,iter13,,,,,,,Recall_1,,,,0.6992782678428228
transformer,iter13,,,,,,,F1_1,,,,0.7242524916943521
gru,iter13,,,,,,,Accuracy,,,,0.7450424929178471
gru,iter13,,,,,,,AUC,,,,0.832487512513693
gru,iter13,,,,,,,Precision_1,,,,0.7708516242317822
gru,iter13,,,,,,,Recall_1,,,,0.7040898155573376
gru,iter13,,,,,,,F1_1,,,,0.7359597652975691
clinicalbert_transformer,iter13,,,,,,,Accuracy,,,,0.738880167451596
clinicalbert_transformer,iter13,,,,,,,MacroAUC,,,,0.8309593169261676
clinicalbert_transformer,iter13,,,,,,,Precision_1,,,,0.8228822882288229
clinicalbert_transformer,iter13,,,,,,,Recall_1,,,,0.6887661141804788
clinicalbert_transformer,iter13,,,,,,,F1_1,,,,0.749874686716792
tabular,iter14,RandomForest,0.7471,0.8309,0.76,0.7289,0.7442,,,,,
tabular,iter14,XGBoost,0.745,0.8262,0.7569,0.7289,0.7426,,,,,
transformer,iter14,,,,,,,Accuracy,0.7434237150951032,,,
transformer,iter14,,,,,,,AUC,0.8255309474765582,,,
transformer,iter14,,,,,,,Precision_1,0.7621899059024807,,,
transformer,iter14,,,,,,,Recall_1,0.714514835605453,,,
transformer,iter14,,,,,,,F1_1,0.7375827814569537,,,
clinicalbert_transformer,iter14,,,,,,,Accuracy,0.7445255474452555,,,
clinicalbert_transformer,iter14,,,,,,,MacroAUC,0.8269629606700334,,,
clinicalbert_transformer,iter14,,,,,,,Precision_1,0.8238512035010941,,,
clinicalbert_transformer,iter14,,,,,,,Recall_1,0.6959334565619224,,,
clinicalbert_transformer,iter14,,,,,,,F1_1,0.7545090180360722,,,
lstm,iter14,,,,,,,Accuracy,0.7422096317280453,,,
lstm,iter14,,,,,,,AUC,0.8259057030992029,,,
lstm,iter14,,,,,,,Precision_1,0.801980198019802,,,
lstm,iter14,,,,,,,Recall_1,0.6495589414595028,,,
lstm,iter14,,,,,,,F1_1,0.717766947275144,,,
gru,iter14,,,,,,,Accuracy,0.7409955483609875,,,
gru,iter14,,,,,,,AUC,0.8288041626701469,,,
gru,iter14,,,,,,,Precision_1,0.7887725975261656,,,
gru,iter14,,,,,,,Recall_1,0.6647955092221332,,,
gru,iter14,,,,,,,F1_1,0.721496953872933,,,
tfidf,iter14,,,,,,,0,,0.6087344028520499,0.8169856459330144,0.6976506639427987
tfidf,iter14,,,,,,,1,,0.8077889447236181,0.5942698706099815,0.6847710330138446
tfidf,iter14,,,,,,,Accuracy,,0.6913451511991658,,
tfidf,iter14,,,,,,,ROC_AUC,,0.7709761296199665,,
tabular,iter15,RandomForest,0.7491,0.8364,0.7597,0.7354,0.7474,,,,,
tabular,iter15,XGBoost,0.7353,0.8237,0.7436,0.7257,0.7346,,,,,
lstm,iter15,,,,,,,Accuracy,0.7426143261837312,,,
lstm,iter15,,,,,,,AUC,0.8360660356096461,,,
lstm,iter15,,,,,,,Precision_1,0.7980487804878049,,,
lstm,iter15,,,,,,,Recall_1,0.6559743384121892,,,
lstm,iter15,,,,,,,F1_1,0.7200704225352113,,,
