iteration,model,Metric,Value,Model,AUC,Accuracy,Precision,Recall,F1-score,Precision_1,Recall_1,F1_1,F1
iter18,gru,Recall_1,0.6856455493183641,,,,,,,,,,
iter18,gru,F1_1,0.7431551499348109,,,,,,,,,,
iter18,lstm,Accuracy,0.7604208822339134,,,,,,,,,,
iter18,lstm,AUC,0.8455784077865308,,,,,,,,,,
iter18,lstm,Precision_1,0.8110161443494777,,,,,,,,,,
iter18,lstm,Recall_1,0.6848436246992783,,,,,,,,,,
iter18,lstm,F1_1,0.7426086956521739,,,,,,,,,,
iter18,tabular,,,RandomForest,0.8433,0.7568,,,,0.7723,0.7346,0.753,
iter18,tabular,,,XGBoost,0.8371,0.7511,,,,0.7528,0.7546,0.7537,
iter18,tfidf,0,,,,,0.6119266055045871,0.8144078144078144,,,,,0.6987951807228916
iter18,tfidf,1,,,,,0.8141809290953546,0.6115702479338843,,,,,0.6984792868379653
iter18,tfidf,Accuracy,,,,,0.6986373165618449,,,,,,
iter18,tfidf,ROC_AUC,,,,,0.7770742164681558,,,,,,
iter18,transformer,Accuracy,0.7575880210441117,,,,,,,,,,
iter18,transformer,AUC,0.8385081712449748,,,,,,,,,,
iter18,transformer,Precision_1,0.8176470588235294,,,,,,,,,,
iter18,transformer,Recall_1,0.6688051323175621,,,,,,,,,,
iter18,transformer,F1_1,0.7357741508601676,,,,,,,,,,
iter19,clinicalbert_transformer,Accuracy,0.738421052631579,,,,,,,,,,
iter19,clinicalbert_transformer,MacroAUC,0.8284168925022584,,,,,,,,,,
iter19,clinicalbert_transformer,Precision_1,0.8286358511837655,,,,,,,,,,
iter19,clinicalbert_transformer,Recall_1,0.6805555555555556,,,,,,,,,,
iter19,clinicalbert_transformer,F1_1,0.7473309608540926,,,,,,,,,,
iter19,gru,Accuracy,0.7365439093484419,,,,,,,,,,
iter19,gru,AUC,0.8294848813623283,,,,,,,,,,
iter19,gru,Precision_1,0.7614035087719299,,,,,,,,,,
iter19,gru,Recall_1,0.6960705693664796,,,,,,,,,,
iter19,gru,F1_1,0.7272727272727273,,,,,,,,,,
iter19,lstm,Accuracy,0.7385673816268717,,,,,,,,,,
iter19,lstm,AUC,0.8277631020331147,,,,,,,,,,
iter19,lstm,Precision_1,0.7925998052580331,,,,,,,,,,
iter19,lstm,Recall_1,0.652766639935846,,,,,,,,,,
iter19,lstm,F1_1,0.7159190853122251,,,,,,,,,,
iter19,tabular,,,RandomForest,0.8282,0.7418,,,,0.7623,0.7097,0.735,
iter19,tabular,,,XGBoost,0.8179,0.7285,,,,0.747,0.6985,0.7219,
iter19,tfidf,0,,,,,0.6010733452593918,0.8195121951219512,,,,,0.6934984520123839
iter19,tfidf,1,,,,,0.8107416879795396,0.587037037037037,,,,,0.6809881847475833
iter19,tfidf,Accuracy,,,,,0.6873684210526316,,,,,,
iter19,tfidf,ROC_AUC,,,,,0.7722775519421861,,,,,,
iter19,transformer,Accuracy,0.7365439093484419,,,,,,,,,,
iter19,transformer,AUC,0.8230734154126768,,,,,,,,,,
iter19,transformer,Precision_1,0.7774674115456238,,,,,,,,,,
iter19,transformer,Recall_1,0.6696070569366479,,,,,,,,,,
iter19,transformer,F1_1,0.7195174493752693,,,,,,,,,,
iter2,clinicalbert_transformer,Accuracy,0.7351097178683386,,,,,,,,,,
iter2,clinicalbert_transformer,MacroAUC,0.824170225452167,,,,,,,,,,
iter2,clinicalbert_transformer,Precision_1,0.8152173913043478,,,,,,,,,,
iter2,clinicalbert_transformer,Recall_1,0.6899724011039559,,,,,,,,,,
iter2,clinicalbert_transformer,F1_1,0.7473841554559043,,,,,,,,,,
iter2,gru,Accuracy,0.7369486038041279,,,,,,,,,,
iter2,gru,AUC,0.8264324575058573,,,,,,,,,,
iter2,gru,Precision_1,0.7952522255192879,,,,,,,,,,
iter2,gru,Recall_1,0.644747393744988,,,,,,,,,,
iter2,gru,F1_1,0.7121346324180691,,,,,,,,,,
iter2,lstm,Accuracy,0.7381626871711857,,,,,,,,,,
iter2,lstm,AUC,0.8256495327347726,,,,,,,,,,
iter2,lstm,Precision_1,0.8048780487804879,,,,,,,,,,
iter2,lstm,Recall_1,0.6351242983159583,,,,,,,,,,
iter2,lstm,F1_1,0.709995517705065,,,,,,,,,,
iter2,tabular,,,RandomForest,0.8187,0.7361,,,,0.7567,0.7033,0.729,
iter2,tabular,,,XGBoost,0.8131,0.7297,,,,0.7439,0.7081,0.7256,
iter2,tfidf,0,,,,,0.5998248686514887,0.8282950423216445,,,,,0.6957846622651092
iter2,tfidf,1,,,,,0.8160621761658031,0.5795768169273229,,,,,0.6777837547068316
iter2,tfidf,Accuracy,,,,,0.687042842215256,,,,,,
