iteration,model,class,precision,recall,f1-score
iter17,tfidf,1,0.533152909,0.635483871,0.579838116
iter17,transformer,1,0.273730684,0.878186969,0.41736789
iter18,clinicalbert_transformer,1,0.3632,0.7118,0.481
iter18,gru,1,0.343642612,0.283286119,0.310559006
iter18,lstm,1,0.392265193,0.201133144,0.265917603
iter18,tabular_rf,1,0.387890255,0.363475177,0.375286041
iter18,tabular_xgb,1,0.323959938,0.745567376,0.451664876
iter18,tfidf,1,0.527590848,0.638436482,0.577745026
iter18,transformer,1,0.267057346,0.90368272,0.412277868
iter19,clinicalbert_transformer,1,0.3849,0.2995,0.3369
iter19,gru,1,0.441826215,0.424929178,0.433212996
iter19,lstm,1,0.35042735,0.174220963,0.232734153
iter19,tabular_rf,1,0.411444142,0.433492823,0.422180801
iter19,tabular_xgb,1,0.303066038,0.491866029,0.375045604
iter19,tfidf,1,0.534852547,0.640449438,0.582907232
iter19,transformer,1,0.274021352,0.872521246,0.417061611
iter2,clinicalbert_transformer,1,0.354,0.6304,0.4534
iter2,gru,1,0.321888412,0.212464589,0.255972696
iter2,lstm,1,0.292289988,0.359773371,0.322539683
iter2,tabular_rf,1,0.372759857,0.388422035,0.380429813
iter2,tabular_xgb,1,0.250940355,0.436041083,0.318553888
iter2,tfidf,1,0.54583921,0.625201939,0.582831325
iter2,transformer,1,0,0,0
iter20,clinicalbert_transformer,1,0.3646,0.6395,0.4644
iter20,gru,1,0.36900369,0.283286119,0.320512821
iter20,lstm,1,0.402135231,0.160056657,0.228976697
iter20,tabular_rf,1,0.398366606,0.38712522,0.392665474
iter20,tabular_xgb,1,0.316260567,0.560846561,0.40445151
iter20,tfidf,1,0.540504648,0.649122807,0.589855072
iter20,transformer,1,0.375,0.004249292,0.008403361
iter21,clinicalbert_transformer,1,0.3464,0.6352,0.4483
iter21,gru,1,0.314417178,0.580736544,0.407960199
iter21,lstm,1,0.332938389,0.398016997,0.362580645
iter21,tabular_rf,1,0.39442947,0.399817851,0.397105382
iter21,tabular_xgb,1,0.296309072,0.782331512,0.429822367
iter21,tfidf,1,0.54025974,0.669887279,0.598130841
iter21,transformer,1,0.333333333,0.082152975,0.131818182
iter22,clinicalbert_transformer,1,0.3619,0.4199,0.3887
iter22,gru,1,0.445820433,0.203966006,0.279883382
iter22,lstm,1,0.359773371,0.179886686,0.239848914
iter22,tabular_rf,1,0.405809129,0.416879795,0.411269975
iter22,tabular_xgb,1,0.301517707,0.762148338,0.432092798
iter22,tfidf,1,0.528401585,0.655737705,0.585223116
iter22,transformer,1,0.273984828,0.869688385,0.416694944
iter23,clinicalbert_transformer,1,0.35,0.6905,0.4645
iter23,gru,1,0.333962264,0.501416431,0.400906002
iter23,lstm,1,0.380487805,0.110481586,0.171240395
iter23,tabular_rf,1,0.389041096,0.367241379,0.377827051
iter23,tabular_xgb,1,0.315589354,0.500862069,0.387204265
iter23,tfidf,1,0.537662338,0.667741935,0.595683453
iter23,transformer,1,0.5,0.002832861,0.005633803
iter24,clinicalbert_transformer,1,0.3485,0.5584,0.4292
iter24,gru,1,0.414489311,0.494334278,0.450904393
iter24,lstm,1,0.347107438,0.178470255,0.235734331
iter24,tabular_rf,1,0.342211461,0.385805278,0.362703165
iter24,tabular_xgb,1,0.27700831,0.818926297,0.413983441
iter24,tfidf,1,0.541727672,0.618729097,0.577673692
iter24,transformer,1,0,0,0
iter25,clinicalbert_transformer,1,0.3366,0.7812,0.4705
iter25,gru,1,0.411764706,0.148725212,0.218522373
iter25,lstm,1,0.318696884,0.318696884,0.318696884
iter25,tabular_rf,1,0.400377715,0.379588183,0.389705882
iter25,tabular_xgb,1,0.425387597,0.39301701,0.408562122
iter25,tfidf,1,0.526170799,0.618122977,0.568452381
iter25,transformer,1,0,0,0
iter26,clinicalbert_transformer,1,0.3163,0.1683,0.2197
iter26,gru,1,0.356923077,0.164305949,0.225024248
iter26,lstm,1,0.386018237,0.179886686,0.245410628
iter26,tabular_rf,1,0.377906977,0.399122807,0.388225256
iter26,tabular_xgb,1,0.290797126,0.745614035,0.418410042
iter26,tfidf,1,0.507189542,0.630894309,0.562318841
iter26,transformer,1,0,0,0
iter27,clinicalbert_transformer,1,0.3488,0.6608,0.4566
iter27,gru,1,0.44295302,0.467422096,0.454858718
iter27,lstm,1,0.38590604,0.162889518,0.229083665
iter27,tabular_rf,1,0.416898793,0.390774587,0.403414196
iter27,tabular_xgb,1,0.319958312,0.53437772,0.400260756
iter27,tfidf,1,0.540136054,0.646579805,0.588584136
iter27,transformer,1,0,0,0
iter28,clinicalbert_transformer,1,0.3711,0.2783,0.3181
iter28,gru,1,0.413232104,0.539660057,0.468058968
iter28,lstm,1,0.323979592,0.179886686,0.23132969
iter28,tabular_rf,1,0.415959253,0.418088737,0.417021277
iter28,tabular_xgb,1,0.298339265,0.429180887,0.351994402
iter28,tfidf,1,0.525896414,0.631578947,0.573913043
iter28,transformer,1,0,0,0
iter29,clinicalbert_transformer,1,0.3171,0.3186,0.3179
iter29,gru,1,0.412145749,0.720963173,0.524471922
iter29,lstm,1,0.395744681,0.131728045,0.197662062
iter29,tabular_rf,1,0.393967093,0.386547085,0.39022182
iter29,tabular_xgb,1,0.29443128,0.44573991,0.35462005
iter29,tfidf,1,0.540682415,0.671009772,0.598837209
iter29,transformer,1,0.333333333,0.004249292,0.008391608
iter3,clinicalbert_transformer,1,0.3716,0.7326,0.4931
iter3,gru,1,0.37853517,0.739376771,0.500719424
iter3,lstm,1,0.404984424,0.184135977,0.253164557
iter3,tabular_rf,1,0.383428107,0.431050228,0.405846948
iter3,tabular_xgb,1,0.280828365,0.817351598,0.418028958
iter3,tfidf,1,0.56846473,0.653418124,0.607988166
iter3,transformer,1,0.272357724,0.854107649,0.413013699
iter30,clinicalbert_transformer,1,0.3573,0.1984,0.2551
iter30,gru,1,0.298352125,0.487252125,0.370091447
iter30,lstm,1,0.320960699,0.208215297,0.25257732
iter30,tabular_rf,1,0.41754671,0.437819421,0.427442827
iter30,tabular_xgb,1,0.302640487,0.761499148,0.433139535
iter30,tfidf,1,0.538251366,0.637540453,0.583703704
iter30,transformer,1,0.375,0.004249292,0.008403361
iter4,clinicalbert_transformer,1,0.3198,0.126,0.1808
iter4,gru,1,0.292253521,0.705382436,0.413278008
iter4,lstm,1,0.34375,0.327195467,0.335268505
iter4,tabular_rf,1,0.380756579,0.408289242,0.394042553
iter4,tabular_xgb,1,0.300430725,0.738095238,0.427040816
iter4,tfidf,1,0.513103448,0.612850082,0.558558559
iter4,transformer,1,0,0,0
iter5,clinicalbert_transformer,1,0.36,0.5161,0.4241
iter5,gru,1,0.360526316,0.194050992,0.252302026
iter5,lstm,1,0.331991952,0.233711048,0.274314214
iter5,tabular_rf,1,0.378801843,0.376029277,0.377410468
iter5,tabular_xgb,1,0.289847449,0.504117109,0.368069472
iter5,tfidf,1,0.548201439,0.620521173,0.582123759
iter5,transformer,1,0.270222222,0.861189802,0.411366712
iter6,clinicalbert_transformer,1,0.3578,0.6602,0.4641
iter6,gru,1,0.424926398,0.613314448,0.502028986
iter6,lstm,1,0.32807571,0.147308782,0.203323558
iter6,tabular_rf,1,0.410742496,0.455341506,0.431893688
iter6,tabular_xgb,1,0.267842149,0.558669002,0.362088536
iter6,tfidf,1,0.532147743,0.647254576,0.584084084
iter6,transformer,1,0.272970562,0.866855524,0.415196744
iter7,clinicalbert_transformer,1,0.3508,0.7168,0.471
iter7,gru,1,0.394803018,0.66713881,0.496050553
iter7,lstm,1,0.330275229,0.305949008,0.317647059
iter7,tabular_rf,1,0.402210884,0.408462867,0.405312768
iter7,tabular_xgb,1,0.310502283,0.469775475,0.373883162
iter7,tfidf,1,0.531543624,0.651315789,0.585365854
iter7,transformer,1,0.269763287,0.855524079,0.410186757
iter8,clinicalbert_transformer,1,0.3552,0.6377,0.4562
iter8,gru,1,0.328440367,0.253541076,0.286171063
iter8,lstm,1,0.319290466,0.203966006,0.24891962
iter8,tabular_rf,1,0.372919818,0.439785905,0.403602129
iter8,tabular_xgb,1,0.292831106,0.859946476,0.436891004
iter8,tfidf,1,0.520314548,0.646579805,0.576615832
iter8,transformer,1,0.269230769,0.862606232,0.410377358
iter9,clinicalbert_transformer,1,0.3457,0.6385,0.4485
iter9,gru,1,0.389255419,0.584985836,0.46745897
iter9,lstm,1,0.354271357,0.199716714,0.255434783
iter9,tabular_rf,1,0.384683882,0.388140162,0.386404293
iter9,tabular_xgb,1,0.316319195,0.790655885,0.451861361
iter9,tfidf,1,0.552785924,0.619047619,0.584043377
iter9,transformer,1,0.272270443,0.844192635,0.411744387
iter1,stacker_logisticregression,1,0.6129,0.4872,0.5429
iter10,stacker_logisticregression,1,0.6226,0.5546,0.5867
iter11,stacker_logisticregression,1,0.6389,0.575,0.6053
iter14,stacker_logisticregression,1,0.66,0.5546,0.6027
iter15,stacker_logisticregression,1,0.6579,0.641,0.6494
iter16,stacker_logisticregression,1,0.6509,0.5948,0.6216
iter17,stacker_logisticregression,1,0.5755,0.5214,0.5471
iter19,stacker_logisticregression,1,0.6514,0.6068,0.6283
iter2,stacker_logisticregression,1,0.6923,0.6154,0.6516
iter22,stacker_logisticregression,1,0.6,0.6154,0.6076
iter25,stacker_logisticregression,1,0.614,0.6034,0.6087
iter26,stacker_logisticregression,1,0.6038,0.5424,0.5714
iter27,stacker_logisticregression,1,0.6667,0.5763,0.6182
iter28,stacker_logisticregression,1,0.5789,0.5546,0.5665
iter29,stacker_logisticregression,1,0.6364,0.525,0.5753
iter30,stacker_logisticregression,1,0.6239,0.5763,0.5991
iter5,stacker_logisticregression,1,0.6087,0.6034,0.6061
iter7,stacker_logisticregression,1,0.5981,0.5517,0.574
iter13,stacker_stackingcv,1,0.6154,0.5565,0.5845
iter18,stacker_stackingcv,1,0.5741,0.5345,0.5536
iter20,stacker_stackingcv,1,0.6449,0.575,0.6079
iter23,stacker_stackingcv,1,0.6415,0.5862,0.6126
iter24,stacker_stackingcv,1,0.6768,0.5776,0.6233
